qid,docno,score,rank
0,5070,0.8901698900027754,1
0,4753,0.8578184022017834,2
0,2922,0.7794430203895444,3
0,2835,0.7422847548544802,4
0,5073,0.7237935184320187,5
0,4408,0.7001813135409185,6
0,3848,0.6972890403910471,7
0,2858,0.6916502064486314,8
0,5043,0.6624134394776007,9
0,3162,0.6517453708811506,10
0,5079,0.6348394260134995,11
0,3851,0.6313452732504362,12
0,3153,0.6290228003654997,13
0,4409,0.6280866013030982,14
0,3850,0.6272989589985261,15
0,4410,0.5431377814992789,16
0,2832,0.5221553881547327,17
0,2875,0.5108851476040929,18
0,2919,0.5018220466421082,19
0,2921,0.49794028711266614,20
0,5002,0.4905429847835413,21
0,5011,0.4736988197627404,22
0,4957,0.4705264921824536,23
0,5035,0.44839169925483685,24
0,3849,0.43446614677009654,25
0,3157,0.4343396585253185,26
0,5061,0.4301228756244555,27
0,3846,0.3896533777274458,28
0,2878,0.3734839036095353,29
0,5076,0.3570080494493963,30
0,5020,0.3491901869041677,31
0,3847,0.3329162673000639,32
0,2857,0.3299579661414098,33
0,4762,0.3262639132245174,34
0,2856,0.3228427820538103,35
0,5009,0.31946118412257796,36
0,3091,0.3185810812778293,37
0,3088,0.310812219013637,38
0,4819,0.3107808756105702,39
0,3092,0.3001551549678462,40
0,4756,0.2990013122037529,41
0,5075,0.2924300812754339,42
0,5157,0.291629463734686,43
0,3087,0.28978749947963806,44
0,4952,0.28863307687566075,45
0,5165,0.2865746625866251,46
0,3089,0.28462403492572613,47
0,2861,0.27830892059825063,48
0,2855,0.2740506869536905,49
0,4955,0.2707079388383577,50
0,4757,0.26757540882847275,51
0,3405,0.25996102761206796,52
0,5517,0.2351739205439593,53
0,4407,0.2105349663261987,54
0,4571,0.20995909700364654,55
0,5077,0.2006439440301281,56
0,5072,0.20053695470077915,57
0,3768,0.1952011253212296,58
0,3232,0.1907564780433545,59
0,3085,0.1853965405650091,60
0,4434,0.18290321236437818,61
0,5015,0.1761170068508469,62
0,4263,0.16120960812370486,63
0,5427,0.15977484575760698,64
0,5005,0.15972671560150858,65
0,2879,0.1553231478585281,66
0,5018,0.15434529525407165,67
0,2882,0.15385720379466705,68
0,3800,0.14725795751600626,69
0,5430,0.14291857356629814,70
0,5494,0.13846042048098675,71
0,5064,0.1338533139723349,72
0,4260,0.13321040703204184,73
0,3766,0.13118941618451607,74
0,5101,0.12964537190433797,75
0,5012,0.11629148443529712,76
0,5099,0.1108050279594712,77
0,5080,0.11010896346135554,78
0,4750,0.1059357092981647,79
0,4261,0.10044883499982585,80
0,4647,0.09293847975960164,81
0,5112,0.08778067925168867,82
0,3629,0.08658390740545188,83
0,5098,0.083281175327187,84
0,5103,0.08244286690531924,85
0,5097,0.08055896260214654,86
0,5007,0.08031755449021473,87
0,5193,0.07319168516264206,88
0,5102,0.07077091585980555,89
0,5034,0.06967509544345511,90
0,5431,0.06892851287746697,91
0,5106,0.0688394592754504,92
0,2881,0.059649277047364474,93
0,5066,0.0574906497779229,94
0,5434,0.05540234605981238,95
0,5105,0.05433514599481119,96
0,5104,0.03994919684904721,97
0,3069,0.03421609881753908,98
0,5100,0.032780081328590685,99
0,4565,0.0029177881806386973,100
1,4641,0.8787031016617517,1
1,4652,0.8510560939841927,2
1,4640,0.8227277084914795,3
1,4267,0.8004414935043774,4
1,5439,0.7992536232979127,5
1,4651,0.7728650687336676,6
1,4258,0.7534851869050412,7
1,4643,0.7529527779893118,8
1,5440,0.7407504638704909,9
1,4301,0.7359623878136679,10
1,4645,0.7346423770067071,11
1,2910,0.7245427291436157,12
1,4644,0.7187514345739948,13
1,5436,0.7173960052205189,14
1,5442,0.696981653922153,15
1,4262,0.6929073982675046,16
1,4648,0.6913022668070525,17
1,5431,0.6872815992690031,18
1,4649,0.678654176201373,19
1,4685,0.6746095992324005,20
1,4266,0.6726294380049771,21
1,3006,0.6721746101827788,22
1,3637,0.6619890507070961,23
1,5096,0.6611243077866245,24
1,5100,0.6600242369274609,25
1,4261,0.6485251305754842,26
1,5428,0.6445793455307132,27
1,5105,0.6411357743002795,28
1,4647,0.6331902271260713,29
1,4650,0.6296237379440321,30
1,5429,0.6287843600137228,31
1,4646,0.6232731347151999,32
1,5433,0.6163861879118105,33
1,5430,0.611354471051228,34
1,4684,0.6082554452989699,35
1,4269,0.5986595627295812,36
1,4688,0.5941640959618935,37
1,4299,0.5892731358829398,38
1,4696,0.5839238057524583,39
1,5432,0.5820059280248159,40
1,2820,0.5760580200444639,41
1,5437,0.5542019482953513,42
1,5427,0.546133030152202,43
1,5101,0.5358090505761954,44
1,5435,0.5286046923434135,45
1,4257,0.5258195539122457,46
1,2907,0.503212899499735,47
1,5444,0.4855634292589085,48
1,2860,0.4733856859800764,49
1,2822,0.46513261994766597,50
1,5099,0.46377242166141197,51
1,5381,0.4339227485194086,52
1,4292,0.4318210854506983,53
1,4297,0.4134671578022581,54
1,4701,0.4074941837731184,55
1,3008,0.3957100892434604,56
1,4298,0.39163962937104546,57
1,4305,0.388725530208485,58
1,5098,0.38655998078258236,59
1,5104,0.38574754739460837,60
1,4690,0.383856737873141,61
1,5386,0.38214068584016586,62
1,4294,0.37964577659396626,63
1,3007,0.37593944380892486,64
1,5387,0.3705981755730057,65
1,3003,0.3588420557487755,66
1,2859,0.35508660245573226,67
1,3005,0.33989094533535225,68
1,5438,0.3262761332983011,69
1,4182,0.3170046171231469,70
1,3011,0.3072416763139177,71
1,3199,0.3067389163098757,72
1,4873,0.30446856436476283,73
1,4303,0.29464012121194266,74
1,4693,0.28943767304711376,75
1,5388,0.2893857784156892,76
1,4694,0.28482305652392576,77
1,5389,0.28384740263461056,78
1,4304,0.2776308602854436,79
1,2899,0.2700316191001491,80
1,5434,0.2692332584225857,81
1,4697,0.25902335469057997,82
1,4384,0.25881069669799145,83
1,3911,0.2580979144784753,84
1,4859,0.25070941271159414,85
1,3010,0.2500238295968424,86
1,5621,0.24721138164607284,87
1,4178,0.2358825605634399,88
1,4306,0.2299931809462701,89
1,5368,0.21676150994812293,90
1,4791,0.21085046786984352,91
1,4296,0.2068466640446224,92
1,4185,0.19760050890163927,93
1,4687,0.17541389594490311,94
1,3525,0.1617734928901831,95
1,4186,0.12219090501892092,96
1,4121,0.10594986450418574,97
1,3324,0.08816734124633817,98
1,4700,0.07166486979845448,99
1,2905,0.04288200640375305,100
10,4907,0.8336201327655981,1
10,4150,0.8097062251303742,2
10,4904,0.7984745452882918,3
10,2853,0.7936833255660577,4
10,4854,0.7927687402092156,5
10,4154,0.7857990476869414,6
10,5557,0.7814810683588151,7
10,5559,0.7769071994418837,8
10,4149,0.7762757635837005,9
10,2892,0.7745069148945976,10
10,4905,0.7741014756802034,11
10,4151,0.7529321663931529,12
10,4443,0.743742707920477,13
10,4147,0.7413054187192119,14
10,4143,0.7274734417262217,15
10,4155,0.725454736243814,16
10,4912,0.7170570701701962,17
10,3668,0.7164121619697014,18
10,4145,0.7127436041332942,19
10,3660,0.681222702262898,20
10,5560,0.6770738418013378,21
10,4911,0.6686884986849759,22
10,4446,0.6616705060917341,23
10,4906,0.6564073246717466,24
10,4153,0.6464827153126719,25
10,5566,0.6458298341772927,26
10,5563,0.642995175479087,27
10,4850,0.6423902315229275,28
10,4441,0.6407753324267702,29
10,4849,0.6364212172131877,30
10,5488,0.6356766979963131,31
10,4903,0.6340035436454587,32
10,4141,0.6314678343006818,33
10,5551,0.6269389650718984,34
10,4855,0.6260134042022099,35
10,4851,0.6191298265401095,36
10,4142,0.6170930197203819,37
10,5321,0.6093356625165876,38
10,2852,0.5810491873367736,39
10,4442,0.5736005271271567,40
10,4909,0.568264220518129,41
10,5483,0.5482119627083067,42
10,4146,0.5264358817941767,43
10,2891,0.5221479964010903,44
10,4440,0.5201043462851297,45
10,4448,0.5156937899779006,46
10,4910,0.47432604532710676,47
10,5491,0.4702261348146848,48
10,3654,0.46594811407863584,49
10,5558,0.46396177777841074,50
10,3885,0.4586557104082296,51
10,3142,0.4523393543347567,52
10,4158,0.44675780287764166,53
10,2854,0.4372987231658696,54
10,3373,0.43068666213870244,55
10,3904,0.423479929185545,56
10,4148,0.4055227301995389,57
10,3014,0.38851269602288724,58
10,5554,0.38554374537244335,59
10,5320,0.3569359927904093,60
10,3758,0.35418788799145606,61
10,3892,0.3526245122669118,62
10,3263,0.3383237433235697,63
10,4853,0.33554828828225586,64
10,3146,0.33457428826544366,65
10,3895,0.33392855969778795,66
10,3657,0.3314255714233678,67
10,3012,0.32402258864491584,68
10,3214,0.31989107440269376,69
10,3759,0.31876106209493466,70
10,4451,0.3183025374689912,71
10,4852,0.31282045511562867,72
10,3210,0.31114304068496973,73
10,3653,0.3105758395273411,74
10,4856,0.299754859043087,75
10,3328,0.2983405963872541,76
10,3275,0.2955216459986018,77
10,3669,0.29277912843159015,78
10,4449,0.28115292050418467,79
10,3281,0.2773273146828651,80
10,3201,0.2764444620857931,81
10,4444,0.2609841499100964,82
10,4157,0.26093479267129044,83
10,2893,0.2605091721934788,84
10,3625,0.25964986159030856,85
10,3141,0.25055464681626977,86
10,2936,0.22545078021741966,87
10,3273,0.223743466396399,88
10,3128,0.22276169139977936,89
10,4720,0.21817088209068097,90
10,5480,0.21506157635467976,91
10,3390,0.1996525010657791,92
10,3288,0.19643549049185188,93
10,3280,0.1957673468762573,94
10,4564,0.18230506887941975,95
10,4447,0.17955897945751367,96
10,4847,0.15040655568296477,97
10,3716,0.11464688091570943,98
10,2993,0.06046816678577202,99
10,3508,0.014017526574609706,100
11,4340,0.9282255183965229,1
11,3806,0.8949948907038954,2
11,3802,0.8496848739495798,3
11,3813,0.8402084711024159,4
11,4344,0.817558866214269,5
11,5089,0.8051904381041188,6
11,3834,0.7746230548991426,7
11,3804,0.7592184000594708,8
11,3801,0.722943529844531,9
11,5090,0.7228048825228209,10
11,5091,0.7212633605359555,11
11,4341,0.7075657210086352,12
11,3800,0.7057436836175546,13
11,3830,0.6973705792673188,14
11,3808,0.6960555896164218,15
11,3827,0.6933224061873735,16
11,4874,0.6881477919816961,17
11,4668,0.6852594753224326,18
11,3832,0.6827385054307311,19
11,4665,0.6747324701701545,20
11,4877,0.6725690260863315,21
11,5092,0.6611117312767991,22
11,4346,0.6463418573910503,23
11,3395,0.644800138558491,24
11,2846,0.6334497886333715,25
11,3821,0.6230781151693595,26
11,3816,0.6199962910237343,27
11,3825,0.6099929410729688,28
11,3803,0.6058324550797076,29
11,4662,0.6023139671120883,30
11,3811,0.6018284375926265,31
11,3809,0.60099283792537,32
11,3401,0.5903813181614096,33
11,2845,0.5891196145665556,34
11,3818,0.5829828923972353,35
11,3396,0.5814397763294954,36
11,3807,0.5752500045664624,37
11,5314,0.5625417548252215,38
11,4663,0.5581420696875383,39
11,4875,0.549127506908531,40
11,4666,0.5447368583340493,41
11,3805,0.5441296858699114,42
11,4876,0.5392627726299857,43
11,3817,0.5372060964667332,44
11,3831,0.5341676228677616,45
11,3819,0.5317685660938785,46
11,5319,0.5293985483270737,47
11,4342,0.5259553104404592,48
11,4664,0.5178549253586211,49
11,3822,0.5173690789363123,50
11,4672,0.5163038334930244,51
11,4343,0.4991512182687956,52
11,4670,0.4878216914959753,53
11,3399,0.47992779114495077,54
11,5095,0.47006488424202053,55
11,3828,0.46558604933754233,56
11,3833,0.45544051276938674,57
11,3398,0.4552651213968324,58
11,2844,0.4508393470682759,59
11,5317,0.4495711575860021,60
11,3400,0.44126419629880004,61
11,3618,0.440672400787648,62
11,2847,0.43943173292067933,63
