Method,nDCG,Delta,%,MRR,P,R,F1,MAP,beta
"dense@100>>Hybrid(KG+BGE,beta=0.00)->@50",0.6007913255576298,0.10019523637231642,20.015185603103184,0.9111111111111111,0.5186666666666668,0.45214576212607,0.48312717953357726,0.36674426373750263,0.0
"dense@100>>Hybrid(KG+BGE,beta=0.05)->@50",0.6135126251054677,0.11291653592015427,22.55641591286068,0.9555555555555555,0.5306666666666667,0.4594866302415011,0.4925181569551873,0.37942467223132176,0.05
"dense@100>>Hybrid(KG+BGE,beta=0.10)->@50",0.6292780885344498,0.12868199934913638,25.70575402587697,0.9555555555555555,0.5413333333333334,0.46862810285369483,0.5023637614703711,0.39254366074175534,0.1
"dense@100>>Hybrid(KG+BGE,beta=0.15)->@50",0.6408347343690349,0.14023864518372153,28.014330957309422,0.95,0.5546666666666666,0.47762992399361426,0.5132738018098828,0.4058501347993127,0.15
"dense@100>>Hybrid(KG+BGE,beta=0.20)->@50",0.6515738120443882,0.15097772285907485,30.159588962187257,0.95,0.5613333333333332,0.4821969588698176,0.5187644829631782,0.41507971552930756,0.2
"dense@100>>Hybrid(KG+BGE,beta=0.25)->@50",0.656926553187839,0.1563304640025256,31.228862426181347,0.9466666666666667,0.5666666666666665,0.48529530166502916,0.522833865143698,0.4207974765886605,0.25
"dense@100>>Hybrid(KG+BGE,beta=0.30)->@50",0.6628360119347455,0.1622399227494321,32.40934682759242,0.9444444444444445,0.5733333333333331,0.4898812465843075,0.5283321981220875,0.42646056760103607,0.3
"dense@100>>Hybrid(KG+BGE,beta=0.35)->@50",0.6626062765472127,0.16201018736189932,32.36345446197153,0.9444444444444445,0.572,0.48863207665092706,0.5270395908199896,0.4296409171651386,0.35
"dense@100>>Hybrid(KG+BGE,beta=0.40)->@50",0.6652712186418693,0.16467512945655594,32.895808220266694,0.9444444444444445,0.5733333333333334,0.4896876633188134,0.528219595261029,0.43250386372969785,0.4
"dense@100>>Hybrid(KG+BGE,beta=0.45)->@50",0.6679432770366475,0.16734718785133407,33.4295835438268,0.9416666666666667,0.5746666666666668,0.4908377607847003,0.5294545805670038,0.43406303672683766,0.45
"dense@100>>Hybrid(KG+BGE,beta=0.50)->@50",0.6691172858005614,0.168521196615248,33.66410570436236,0.9407407407407408,0.5746666666666668,0.49084857978286117,0.5294608746741115,0.4339850770193855,0.5
"dense@100>>Hybrid(KG+BGE,beta=0.55)->@50",0.6699604301022802,0.16936434091696684,33.83253376841117,0.9407407407407408,0.5760000000000001,0.49250710644138773,0.5309914957047609,0.43493074929962366,0.55
"dense@100>>Hybrid(KG+BGE,beta=0.60)->@50",0.6643613677679153,0.16376527858260193,32.714054728058095,0.9393939393939393,0.5733333333333334,0.48955364015458813,0.5281416130903156,0.43134900362059636,0.6
"dense@100>>Hybrid(KG+BGE,beta=0.65)->@50",0.6630747290218373,0.16247863983652389,32.457033394117595,0.9384615384615385,0.5733333333333331,0.489411512684013,0.5280588938923053,0.43004713383935506,0.65
"dense@100>>Hybrid(KG+BGE,beta=0.70)->@50",0.6609830965157169,0.16038700733040345,32.039205018845145,0.9377777777777777,0.5706666666666665,0.48634540860525066,0.5251427484515703,0.4268656743488685,0.7
"dense@100>>Hybrid(KG+BGE,beta=0.75)->@50",0.6567101915802219,0.15611410239490853,31.18564163155445,0.9368421052631579,0.568,0.48383964656421424,0.5225528817936528,0.42352039555981197,0.75
"dense@100>>Hybrid(KG+BGE,beta=0.80)->@50",0.6533877235002913,0.1527916343149779,30.52193926717167,0.9037037037037037,0.5693333333333332,0.48473333377369093,0.523638311137551,0.42143143691965906,0.8
"dense@100>>Hybrid(KG+BGE,beta=0.85)->@50",0.6501891594297196,0.14959307024440616,29.882988196703426,0.9037037037037037,0.5666666666666667,0.48318023205899485,0.5216039249769601,0.4188221928934216,0.85
"dense@100>>Hybrid(KG+BGE,beta=0.90)->@50",0.6501510332488795,0.14955494406356606,29.87537204035228,0.9041666666666667,0.564,0.4823131430325295,0.5199678786064709,0.41615972845035554,0.9
"dense@100>>Hybrid(KG+BGE,beta=0.95)->@50",0.6502592561689983,0.14966316698368487,29.89699085089771,0.9041666666666667,0.5640000000000001,0.482794624514011,0.5202475477982504,0.4142569479998034,0.95
"dense@100>>Hybrid(KG+BGE,beta=1.00)->@50",0.6467818491120564,0.146185759926743,29.202337590101934,0.9041666666666667,0.5613333333333334,0.4813521293873053,0.518275174933492,0.41051449808164653,1.0
