docno,n_links
2812,15
2813,15
2814,15
2815,15
2816,15
2817,15
2818,15
2819,15
2820,15
2821,1
2822,15
2823,15
2824,15
2825,15
2826,15
2827,15
2828,15
2829,15
2830,15
2831,15
2832,15
2833,15
2834,15
2835,15
2836,15
2837,15
2838,15
2839,15
2840,15
2841,15
2842,15
2843,15
2844,15
2845,15
2846,15
2847,15
2848,15
2849,15
2850,15
2851,15
2852,15
2853,15
2854,15
2855,15
2856,15
2857,1
2858,15
2859,15
2860,15
2861,15
2862,15
2863,15
2864,15
2865,15
2866,15
2867,15
2868,15
2869,15
2870,15
2871,15
2872,15
2873,15
2874,15
2875,15
2876,15
2877,15
2878,15
2879,15
2880,15
2881,15
2882,15
2883,15
2884,15
2885,15
2886,15
2887,15
2888,15
2889,12
2890,15
2891,15
2892,15
2893,15
2894,15
2895,15
2896,15
2897,15
2898,15
2899,15
2900,15
2901,15
2902,15
2903,15
2904,15
2905,15
2906,15
2907,15
2908,15
2909,15
2910,15
2911,15
2912,15
2913,15
2914,15
2915,15
2916,15
2917,15
2918,15
2919,15
2920,15
2921,15
2922,15
2923,15
2924,15
2925,15
2926,15
2927,15
2928,15
2929,15
2930,15
2931,15
2932,15
2933,15
2934,15
2935,15
2936,15
2937,15
2938,15
2939,15
2940,15
2941,15
2942,15
2943,15
2944,15
2945,15
2946,15
2947,15
2948,15
2949,15
2950,15
2951,15
2952,15
2953,15
2954,15
2955,15
2956,15
2957,15
2958,15
2959,15
2960,15
2961,15
2962,15
2963,15
2964,15
2965,15
2966,15
2967,15
2968,15
2969,15
2970,15
2971,15
2972,15
2973,15
2974,15
2975,15
2976,15
2977,15
2978,15
2979,15
2980,15
2981,15
2982,15
2983,15
2984,15
2985,15
2986,15
2987,15
2988,15
2989,15
2990,15
2991,15
2992,15
2993,15
2994,15
2995,15
2996,15
2997,15
2998,15
2999,15
3000,15
3001,15
3002,15
3003,15
3004,15
3005,15
3006,15
3007,15
3008,15
3009,15
3010,15
3011,15
3012,15
3013,15
3014,15
3015,15
3016,15
3017,15
3018,15
3019,15
3020,15
3021,15
3022,15
3023,15
3024,15
3025,15
3026,15
3027,15
3028,15
3029,15
3030,15
3031,15
3032,15
3033,15
3034,15
3035,15
3036,15
3037,15
3038,15
3039,15
3040,15
3041,15
3042,15
3043,15
3044,15
3045,15
3046,15
3047,15
3048,15
3049,15
3050,15
3051,15
3052,15
3053,15
3054,15
3055,15
3056,15
3057,15
3058,15
3059,15
3060,15
3061,15
3062,15
3063,15
3064,15
3065,15
3066,15
3067,15
3068,15
3069,15
3070,15
3071,15
3072,15
3073,15
3074,15
3075,15
3076,15
3077,15
3078,15
3079,15
3080,15
3081,15
3082,15
3083,15
3084,15
3085,15
3086,15
3087,15
3088,15
3089,15
3090,15
3091,15
3092,15
3093,15
3094,15
3095,15
3096,15
3097,15
3098,15
3099,15
3100,15
3101,15
3102,15
3103,15
3104,15
3105,15
3106,15
3107,15
3108,15
3109,15
3110,15
3111,15
3112,15
3113,15
3114,15
3115,15
3116,15
3117,15
3118,15
3119,15
3120,15
3121,15
3122,15
3123,15
3124,15
3125,15
3126,15
3127,15
3128,15
3129,15
3130,15
3131,15
3132,15
3133,15
3134,15
3135,15
3136,15
3137,15
3138,15
3139,15
3140,15
3141,15
3142,15
3143,15
3144,15
3145,15
3146,15
3147,15
3148,15
3149,15
3150,15
3151,15
3152,15
3153,15
3154,15
3155,15
3156,15
3157,15
3158,15
3159,15
3160,15
3161,15
3162,15
3163,15
3164,15
3165,15
3166,11
3167,15
3168,8
3169,15
3170,15
3171,10
3172,15
3173,15
3174,15
3175,15
3176,15
3177,15
3178,15
3179,15
3180,15
3181,15
3182,15
3183,15
3184,15
3185,15
3186,15
3187,15
3188,15
3189,15
3190,15
3191,15
3192,15
3193,15
3194,15
3195,15
3196,15
3197,15
3198,15
3199,15
3200,15
3201,15
3202,15
3203,15
3204,15
3205,15
3206,15
3207,15
3208,15
3209,15
3210,15
3211,15
3212,15
