qid,docno,score,rank
0,4957,4.53125,1
0,5070,3.107421875,2
0,4753,2.87109375,3
0,2875,2.359375,4
0,3092,1.9443359375,5
0,3088,1.880859375,6
0,4952,1.6533203125,7
0,5157,1.642578125,8
0,2856,1.63671875,9
0,2832,1.609375,10
0,3087,1.60546875,11
0,4955,1.376953125,12
0,2835,1.2841796875,13
0,2922,1.1494140625,14
0,3405,1.1123046875,15
0,3089,1.05859375,16
0,3162,1.048828125,17
0,5043,0.86767578125,18
0,2861,0.81494140625,19
0,4408,0.74755859375,20
0,3850,0.64111328125,21
0,5073,0.62939453125,22
0,5517,0.50732421875,23
0,2878,0.416748046875,24
0,5165,0.34521484375,25
0,2858,0.26611328125,26
0,5076,0.2376708984375,27
0,3847,0.23095703125,28
0,4571,0.194091796875,29
0,4819,0.1322021484375,30
0,5020,0.07635498046875,31
0,5035,0.027099609375,32
0,5011,0.0243072509765625,33
0,3085,-0.056304931640625,34
0,3232,-0.069580078125,35
0,3768,-0.175048828125,36
0,5061,-0.20751953125,37
0,5002,-0.239990234375,38
0,5077,-0.249755859375,39
0,2855,-0.28662109375,40
0,4762,-0.294677734375,41
0,4757,-0.311279296875,42
0,3153,-0.3720703125,43
0,3849,-0.4501953125,44
0,4409,-0.478271484375,45
0,2857,-0.48046875,46
0,4756,-0.50830078125,47
0,3848,-0.57568359375,48
0,4434,-0.62939453125,49
0,5009,-0.685546875,50
1,4640,3.673828125,1
1,4651,3.181640625,2
1,4652,3.0859375,3
1,4258,3.021484375,4
1,4267,2.83984375,5
1,4641,2.458984375,6
1,5439,2.349609375,7
1,2910,2.052734375,8
1,5096,2.033203125,9
1,4647,2.001953125,10
1,5429,1.9697265625,11
1,4261,1.921875,12
1,2859,1.787109375,13
1,4648,1.705078125,14
1,4301,1.67578125,15
1,4650,1.55078125,16
1,5433,1.283203125,17
1,5442,1.275390625,18
1,5427,1.26171875,19
1,4644,1.259765625,20
1,4688,1.2490234375,21
1,5436,1.08984375,22
1,4645,1.08203125,23
1,2820,1.0556640625,24
1,4646,1.044921875,25
1,4266,1.01171875,26
1,4262,1.0078125,27
1,4294,0.9814453125,28
1,2907,0.8896484375,29
1,3006,0.8837890625,30
1,5428,0.77294921875,31
1,2899,0.77099609375,32
1,3199,0.697265625,33
1,5105,0.6708984375,34
1,4696,0.62939453125,35
1,4257,0.58349609375,36
1,5431,0.5380859375,37
1,4701,0.505859375,38
1,4690,0.50439453125,39
1,5440,0.48876953125,40
1,5430,0.476806640625,41
1,4684,0.435546875,42
1,5621,0.423583984375,43
1,4859,0.420654296875,44
1,3005,0.415771484375,45
1,3003,0.41552734375,46
1,4643,0.41259765625,47
1,4297,0.4111328125,48
1,4873,0.38818359375,49
1,5101,0.363037109375,50
2,2895,6.03515625,1
2,5600,5.08984375,2
2,4673,4.921875,3
2,4674,4.8203125,4
2,5601,4.453125,5
2,5585,4.046875,6
2,3782,4.00390625,7
2,4675,3.896484375,8
2,5391,3.658203125,9
2,5599,3.556640625,10
2,5581,3.4140625,11
2,2898,3.41015625,12
2,4388,3.34765625,13
2,3536,3.224609375,14
2,4682,3.08203125,15
2,3549,3.080078125,16
2,5504,3.033203125,17
2,5082,3.025390625,18
2,3592,2.9453125,19
2,5505,2.896484375,20
2,5594,2.419921875,21
2,5584,2.361328125,22
2,5506,2.26953125,23
2,5081,2.138671875,24
2,5393,1.9765625,25
2,4680,1.91015625,26
2,5512,1.8544921875,27
2,3844,1.7548828125,28
2,5596,1.5546875,29
2,4679,1.5068359375,30
2,3845,1.3642578125,31
2,5392,1.3232421875,32
2,5510,1.267578125,33
2,5593,1.2060546875,34
2,5511,0.90966796875,35
2,5398,0.89697265625,36
2,5503,0.8779296875,37
2,3533,0.84716796875,38
2,5329,0.818359375,39
2,3841,0.7998046875,40
2,4376,0.708984375,41
2,5301,0.59326171875,42
2,3836,0.58642578125,43
2,4271,0.556640625,44
2,3554,0.54833984375,45
2,4081,0.5283203125,46
2,4400,0.472900390625,47
2,4681,0.4658203125,48
2,5291,0.429443359375,49
2,3780,0.367431640625,50
3,3376,2.017578125,1
3,3726,1.876953125,2
3,3759,1.0849609375,3
3,5145,0.7802734375,4
3,3843,0.52880859375,5
3,4132,0.4423828125,6
3,4323,0.4345703125,7
3,4564,0.356689453125,8
3,4282,0.261474609375,9
3,4320,0.1356201171875,10
3,3747,0.1075439453125,11
3,5229,0.0960693359375,12
3,5426,0.06121826171875,13
3,2980,0.05902099609375,14
3,2955,-0.0104827880859375,15
3,5230,-0.0224609375,16
3,2974,-0.05743408203125,17
3,2911,-0.10235595703125,18
3,4274,-0.1494140625,19
3,5363,-0.1536865234375,20
3,4136,-0.173828125,21
3,2913,-0.2386474609375,22
3,2956,-0.26025390625,23
3,5421,-0.285400390625,24
3,5525,-0.305419921875,25
3,3730,-0.30810546875,26
3,4598,-0.32861328125,27
3,3735,-0.3583984375,28
3,3778,-0.392333984375,29
3,3740,-0.39599609375,30
3,3576,-0.410400390625,31
3,3743,-0.424560546875,32
3,2965,-0.482177734375,33
3,5307,-0.48681640625,34
3,4925,-0.490966796875,35
3,5536,-0.501953125,36
3,4137,-0.51416015625,37
3,3147,-0.517578125,38
3,3379,-0.51806640625,39
3,5306,-0.5205078125,40
3,3378,-0.54296875,41
3,3752,-0.564453125,42
3,3533,-0.61962890625,43
3,2962,-0.63818359375,44
3,5605,-0.68017578125,45
3,5228,-0.68408203125,46
3,4599,-0.6982421875,47
3,5225,-0.72998046875,48
3,4951,-0.748046875,49
3,5424,-0.7744140625,50
4,4377,5.0859375,1
4,4895,4.95703125,2
4,3184,4.77734375,3
4,4376,4.078125,4
4,5581,3.828125,5
4,4374,3.607421875,6
4,5591,3.599609375,7
4,4586,3.30859375,8
4,4673,3.09765625,9
4,5391,3.060546875,10
4,5157,3.0390625,11
4,4318,2.958984375,12
4,3409,2.8046875,13
4,4570,2.7734375,14
4,5504,2.71875,15
4,4952,2.71484375,16
4,5585,2.701171875,17
4,4675,2.6953125,18
4,5082,2.673828125,19
4,3548,2.662109375,20
4,5505,2.576171875,21
4,4682,2.57421875,22
4,4592,2.544921875,23
4,4271,2.498046875,24
4,4359,2.478515625,25
4,3533,2.37109375,26
4,5393,2.310546875,27
4,4019,2.154296875,28
4,5271,2.154296875,29
4,4591,2.111328125,30
4,4680,2.080078125,31
4,3020,1.962890625,32
4,5160,1.931640625,33
4,4106,1.8994140625,34
4,5291,1.8701171875,35
4,5582,1.8603515625,36
4,5513,1.7041015625,37
4,4081,1.662109375,38
4,5508,1.6552734375,39
4,4461,1.6357421875,40
4,4365,1.615234375,41
4,2952,1.58984375,42
4,5087,1.5771484375,43
4,5511,1.4560546875,44
4,5397,1.4521484375,45
4,4677,1.4482421875,46
4,2980,1.3955078125,47
4,4390,1.359375,48
4,4564,1.357421875,49
4,5602,1.3544921875,50
5,3829,2.7109375,1
5,3262,2.078125,2
5,4912,1.591796875,3
5,3013,1.388671875,4
5,3372,1.2578125,5
5,3272,1.189453125,6
5,3270,0.9462890625,7
5,3015,0.86572265625,8
5,3906,0.85107421875,9
5,3819,0.66162109375,10
5,3274,0.6455078125,11
5,3705,0.533203125,12
5,3815,0.5009765625,13
5,3835,0.406982421875,14
5,3371,0.3359375,15
5,4522,0.057037353515625,16
5,3017,0.04498291015625,17
5,2885,0.0239410400390625,18
5,3278,-0.057525634765625,19
5,3266,-0.059906005859375,20
5,5276,-0.080322265625,21
5,4320,-0.1431884765625,22
5,3264,-0.1680908203125,23
5,4272,-0.247314453125,24
5,3885,-0.303955078125,25
5,5536,-0.449462890625,26
5,3899,-0.587890625,27
5,5033,-0.630859375,28
5,3319,-0.67041015625,29
5,3814,-0.83203125,30
5,5210,-0.96484375,31
5,3692,-0.97021484375,32
5,5231,-1.046875,33
5,5240,-1.0703125,34
5,3808,-1.0830078125,35
5,4518,-1.1181640625,36
5,5244,-1.1953125,37
5,3888,-1.2568359375,38
5,3129,-1.27734375,39
5,3893,-1.3193359375,40
5,5279,-1.626953125,41
5,4552,-1.685546875,42
5,3401,-1.8486328125,43
5,4585,-1.9326171875,44
5,3121,-1.9638671875,45
5,2911,-1.9833984375,46
5,5120,-1.984375,47
5,4543,-2.0390625,48
5,4009,-2.091796875,49
5,5242,-2.220703125,50
6,2879,7.41015625,1
6,5096,5.140625,2
6,3833,3.5,3
6,4647,3.005859375,4
6,5101,2.634765625,5
6,3528,2.611328125,6
6,5105,2.513671875,7
6,5100,2.052734375,8
6,2882,1.8623046875,9
6,3705,1.826171875,10
6,2927,1.626953125,11
6,5430,1.6171875,12
6,2880,1.5927734375,13
6,4041,1.55078125,14
6,2908,1.3583984375,15
6,4193,1.3583984375,16
6,3827,1.251953125,17
6,4038,1.240234375,18
6,4578,1.216796875,19
6,3950,1.10546875,20
6,3828,1.0537109375,21
6,4643,1.05078125,22
6,5098,1.0205078125,23
6,2861,1.0087890625,24
6,4008,0.95703125,25
6,3074,0.84716796875,26
6,4404,0.78759765625,27
6,3815,0.73828125,28
6,4479,0.73095703125,29
6,2855,0.70751953125,30
6,3517,0.5732421875,31
6,4593,0.5673828125,32
6,5172,0.412841796875,33
6,4043,0.26611328125,34
6,5283,0.2462158203125,35
6,3938,0.2451171875,36
6,3922,0.132568359375,37
6,4577,0.1077880859375,38
6,3996,0.0533447265625,39
6,4357,0.0268707275390625,40
6,2881,-0.004055023193359375,41
6,5104,-0.0635986328125,42
6,2871,-0.07171630859375,43
6,5243,-0.1749267578125,44
6,3829,-0.192626953125,45
6,3953,-0.2032470703125,46
6,2859,-0.236328125,47
6,3982,-0.298828125,48
6,4016,-0.3388671875,49
6,4011,-0.36474609375,50
7,3980,1.0537109375,1
7,3514,0.77734375,2
7,4208,0.7333984375,3
7,4735,0.70166015625,4
7,3987,0.59423828125,5
7,3815,0.53369140625,6
7,4309,0.498291015625,7
7,4307,0.377197265625,8
7,4815,0.29150390625,9
7,4741,0.287109375,10
7,3060,0.28369140625,11
7,3507,0.274169921875,12
7,3927,0.15380859375,13
7,3529,0.09521484375,14
7,5238,0.0802001953125,15
7,4316,0.060577392578125,16
7,3518,0.0357666015625,17
7,3978,0.0196380615234375,18
7,3505,-0.0017538070678710938,19
7,3930,-0.01277923583984375,20
7,4583,-0.0194091796875,21
7,3932,-0.038665771484375,22
7,3521,-0.07666015625,23
7,3991,-0.08624267578125,24
7,3639,-0.08917236328125,25
7,3516,-0.12744140625,26
7,4814,-0.13671875,27
7,4012,-0.163330078125,28
7,4007,-0.16650390625,29
7,4739,-0.240234375,30
7,3979,-0.250732421875,31
7,3918,-0.287109375,32
7,3954,-0.38037109375,33
7,4578,-0.42578125,34
