qid,docno,score,rank
0,4757,4.063316345214844,1
0,4409,0.9001656174659729,2
0,4753,-0.6889222860336304,3
0,4407,-1.6121906042099,4
0,3848,-1.683091402053833,5
0,4410,-1.6860105991363525,6
0,4408,-2.396045207977295,7
0,4957,-2.5287294387817383,8
0,5077,-2.6946706771850586,9
0,5070,-3.2213668823242188,10
0,5002,-4.103957176208496,11
0,5157,-4.15280818939209,12
0,3847,-4.209490776062012,13
0,5076,-4.403959274291992,14
0,2835,-4.656667709350586,15
0,4952,-4.760427474975586,16
0,2832,-4.92055082321167,17
0,5035,-4.949993133544922,18
0,2875,-5.17708683013916,19
0,3851,-5.2742815017700195,20
0,5073,-5.288158416748047,21
0,2856,-5.367264270782471,22
0,5517,-5.4028801918029785,23
0,5061,-5.472606658935547,24
0,5079,-5.742563724517822,25
0,2878,-5.7506208419799805,26
0,2858,-5.890328407287598,27
0,5011,-5.904025077819824,28
0,5015,-5.926849365234375,29
0,3405,-6.01509428024292,30
0,5193,-6.1268486976623535,31
0,3850,-6.187624931335449,32
0,3087,-6.376859664916992,33
0,3153,-6.40080451965332,34
0,2919,-6.445513725280762,35
0,3088,-6.628308296203613,36
0,5043,-6.709810733795166,37
0,3849,-6.759138107299805,38
0,4819,-6.762085914611816,39
0,4750,-6.8115105628967285,40
0,4955,-6.82077693939209,41
0,5165,-6.873592376708984,42
0,4565,-6.982783794403076,43
0,4571,-7.134634017944336,44
0,4762,-7.178256034851074,45
0,5005,-7.178798198699951,46
0,2861,-7.279853820800781,47
0,3766,-7.542863368988037,48
0,3162,-7.589700222015381,49
0,3091,-7.725990295410156,50
1,4185,2.2022054195404053,1
1,4258,1.6963080167770386,2
1,4267,0.9171707630157471,3
1,4651,0.060594238340854645,4
1,4640,-0.2611733078956604,5
1,4652,-0.30037134885787964,6
1,4262,-1.465453028678894,7
1,5096,-1.500410556793213,8
1,4182,-1.5462965965270996,9
1,4261,-1.7385557889938354,10
1,4266,-1.934585690498352,11
1,4384,-2.3749210834503174,12
1,4649,-2.4229722023010254,13
1,5099,-2.9508609771728516,14
1,2899,-3.495171070098877,15
1,2860,-3.7865309715270996,16
1,4690,-3.8138561248779297,17
1,5101,-3.8327484130859375,18
1,5432,-3.9746174812316895,19
1,5439,-3.9887290000915527,20
1,4696,-4.012106418609619,21
1,5105,-4.144330978393555,22
1,2859,-4.268914222717285,23
1,4641,-4.300777912139893,24
1,4688,-4.33151912689209,25
1,5100,-4.388195991516113,26
1,4269,-4.408796787261963,27
1,4186,-4.434811592102051,28
1,5389,-4.459458351135254,29
1,4304,-4.542996406555176,30
1,5429,-4.548604488372803,31
1,4257,-4.766188621520996,32
1,4859,-4.770792007446289,33
1,5442,-4.8980817794799805,34
1,5388,-5.00404691696167,35
1,5427,-5.160584449768066,36
1,4305,-5.1818156242370605,37
1,2910,-5.281767845153809,38
1,4694,-5.310736656188965,39
1,5428,-5.340620040893555,40
1,5437,-5.456258773803711,41
1,5104,-5.590449810028076,42
1,4873,-5.604837417602539,43
1,4791,-5.6305155754089355,44
1,5436,-5.632694244384766,45
1,5621,-5.716100692749023,46
1,3525,-5.7785539627075195,47
1,4306,-5.787306785583496,48
1,5387,-5.7881669998168945,49
1,3199,-5.80298376083374,50
2,2895,-0.563371479511261,1
2,5600,-2.5484657287597656,2
2,3070,-3.232532501220703,3
2,4673,-3.2698869705200195,4
2,5198,-3.4151854515075684,5
2,5601,-3.620663642883301,6
2,5585,-4.6111063957214355,7
2,5594,-5.219786643981934,8
2,4389,-5.669014930725098,9
2,3554,-5.807132720947266,10
2,5581,-5.904265403747559,11
2,4674,-6.1510491371154785,12
2,3836,-6.422479629516602,13
2,3765,-6.434021472930908,14
2,3844,-6.6069016456604,15
2,5081,-6.6441545486450195,16
2,5593,-6.66988468170166,17
2,5301,-6.739702224731445,18
2,3067,-6.746529579162598,19
2,2898,-6.754864692687988,20
2,5596,-6.806755065917969,21
2,3548,-6.956487655639648,22
2,5300,-7.049929618835449,23
2,5599,-7.294162273406982,24
2,4681,-7.416908264160156,25
2,4388,-7.437374114990234,26
2,5584,-7.477381229400635,27
2,4682,-7.600948333740234,28
2,3549,-7.672091960906982,29
2,5392,-7.676892280578613,30
2,5393,-7.767658233642578,31
2,3147,-7.806015968322754,32
2,5503,-7.887306213378906,33
2,3572,-8.05029010772705,34
2,5391,-8.10906982421875,35
2,5504,-8.110147476196289,36
2,5082,-8.141220092773438,37
2,3722,-8.207597732543945,38
2,5291,-8.269952774047852,39
2,4676,-8.389921188354492,40
2,4675,-8.444704055786133,41
2,5511,-8.488627433776855,42
2,3592,-8.55858039855957,43
2,5610,-8.584981918334961,44
2,5506,-8.587030410766602,45
2,5512,-8.663678169250488,46
2,3775,-8.896581649780273,47
2,3845,-8.908374786376953,48
2,3563,-8.914302825927734,49
2,4590,-8.93104362487793,50
3,3023,3.2184367179870605,1
3,4137,-2.519885778427124,2
3,3541,-3.1632332801818848,3
3,5363,-3.943173408508301,4
3,4463,-4.44803524017334,5
3,4673,-4.468070983886719,6
3,3762,-4.990163803100586,7
3,3726,-5.500701904296875,8
3,5145,-5.819191932678223,9
3,5393,-6.199834823608398,10
3,5230,-6.344714641571045,11
3,4497,-6.407087326049805,12
3,4095,-6.523154258728027,13
3,3735,-6.542837142944336,14
3,4323,-6.623847961425781,15
3,3376,-6.750023365020752,16
3,3730,-6.949287414550781,17
3,3147,-7.0435686111450195,18
3,3559,-7.073668003082275,19
3,4132,-7.186539649963379,20
3,5279,-7.211565017700195,21
3,2980,-7.260379314422607,22
3,5536,-7.360231876373291,23
3,4599,-7.480316638946533,24
3,3778,-7.48267936706543,25
3,3586,-7.591282844543457,26
3,4320,-7.6079840660095215,27
3,3752,-7.6660284996032715,28
3,4282,-7.702310562133789,29
3,4134,-7.730255126953125,30
3,2974,-7.834688186645508,31
3,5605,-7.839677810668945,32
3,5329,-7.898126602172852,33
3,3747,-7.90777587890625,34
3,4389,-8.191909790039062,35
3,5225,-8.246676445007324,36
3,4920,-8.279325485229492,37
3,5331,-8.327656745910645,38
3,3385,-8.371715545654297,39
3,4133,-8.443208694458008,40
3,3386,-8.468857765197754,41
3,4951,-8.506558418273926,42
3,3576,-8.507354736328125,43
3,4510,-8.533607482910156,44
3,5525,-8.5628662109375,45
3,5229,-8.61827278137207,46
3,3379,-8.709602355957031,47
3,4598,-8.813220977783203,48
3,4836,-8.837702751159668,49
3,4508,-8.880117416381836,50
4,4374,4.1548590660095215,1
4,5292,3.03611421585083,2
4,4586,2.958341598510742,3
4,5582,0.8423095941543579,4
4,4673,-0.039547696709632874,5
4,4377,-0.21000871062278748,6
4,4591,-0.6119447946548462,7
4,2952,-1.0452661514282227,8
4,5300,-1.0478534698486328,9
4,3409,-2.550837993621826,10
4,5588,-2.568277359008789,11
4,3554,-2.795987129211426,12
4,5346,-2.8568310737609863,13
4,2867,-3.2766401767730713,14
4,4895,-3.5302700996398926,15
4,5271,-3.865657091140747,16
4,3549,-4.093527793884277,17
4,5591,-4.561054229736328,18
4,5082,-4.591211318969727,19
4,4592,-4.669464588165283,20
4,3412,-5.051657676696777,21
4,5087,-5.076106071472168,22
4,3184,-5.298062801361084,23
4,3688,-5.651345252990723,24
4,5081,-5.8311662673950195,25
4,5585,-5.834381103515625,26
4,4677,-5.836827278137207,27
4,5474,-5.980014324188232,28
4,4675,-6.0298261642456055,29
4,3548,-6.224869728088379,30
4,4019,-6.238292694091797,31
4,5592,-6.243125915527344,32
4,3067,-6.284172058105469,33
4,5343,-6.293578147888184,34
4,4271,-6.584470272064209,35
4,4461,-6.723224639892578,36
4,5309,-6.80920934677124,37
4,5291,-6.8340959548950195,38
4,5399,-6.909895896911621,39
4,4367,-7.131564140319824,40
4,4570,-7.220676422119141,41
4,5581,-7.247742176055908,42
4,4937,-7.3389811515808105,43
4,4832,-7.465575695037842,44
4,4682,-7.488883018493652,45
4,5513,-7.553955078125,46
4,4390,-7.563920021057129,47
4,3564,-7.572918891906738,48
4,3148,-7.6808366775512695,49
4,5391,-7.688959121704102,50
5,3015,5.0919647216796875,1
5,3264,2.6202878952026367,2
5,3274,2.4575276374816895,3
5,3372,1.97291898727417,4
5,3270,1.5390245914459229,5
5,3885,0.5342691540718079,6
5,3272,0.09851328283548355,7
5,3371,-0.33413928747177124,8
5,3013,-2.2195358276367188,9
5,2885,-2.4358582496643066,10
5,4220,-4.856482982635498,11
5,3814,-5.154424667358398,12
5,3893,-5.22263765335083,13
5,4912,-5.4724249839782715,14
5,3808,-5.774135589599609,15
5,4793,-6.418003082275391,16
5,3278,-6.419170379638672,17
5,3829,-6.434708595275879,18
