name,nDCG@50,MRR@50,Prec@50,Recall@50,F1@50,MAP@50
ANN@100->@50,0.5005960891853134,0.7944444444444444,0.46266666666666656,0.4113092578171019,0.4354790056620452,0.273426672340607
"dense@100>>KG(SVD sim-only @512,alpha=0.00)->@50",0.6089065575812516,0.8592592592592593,0.5559999999999999,0.4744669048578435,0.5120079021603389,0.36059435867986395
"dense@100>>KG(SVD sim-only @512,alpha=0.05)->@50",0.6180466879833573,0.8705882352941177,0.5559999999999999,0.4744669048578435,0.5120079021603389,0.3720509945804555
"dense@100>>KG(SVD sim-only @512,alpha=0.10)->@50",0.6197900230828378,0.8708333333333333,0.5586666666666668,0.47665493904587775,0.514412573788978,0.3741502115935768
"dense@100>>KG(SVD sim-only @512,alpha=0.15)->@50",0.6457327548633703,0.9041666666666667,0.5613333333333334,0.47898510070448713,0.5169000075330347,0.408758535288344
"dense@100>>KG(SVD sim-only @512,alpha=0.20)->@50",0.6444206822724358,0.903921568627451,0.5586666666666666,0.4773896591090455,0.5148401354644554,0.4078918985532018
"dense@100>>KG(SVD sim-only @512,alpha=0.25)->@50",0.6466803904857401,0.903921568627451,0.5613333333333335,0.4803526220720085,0.5176952557033673,0.40966728430031424
"dense@100>>KG(SVD sim-only @512,alpha=0.30)->@50",0.6467818491120564,0.9041666666666667,0.5613333333333334,0.4813521293873053,0.518275174933492,0.41051449808164653
"dense@100>>KG(SVD sim-only @512,alpha=0.35)->@50",0.6456679832788821,0.9044444444444444,0.56,0.48061138864656455,0.5172774016861893,0.4100166026878192
"dense@100>>KG(SVD sim-only @512,alpha=0.40)->@50",0.6449827700049842,0.9044444444444444,0.5573333333333333,0.47928488483779125,0.5153709201719484,0.40908723801672137
"dense@100>>KG(SVD sim-only @512,alpha=0.45)->@50",0.643357523214327,0.9044444444444444,0.5586666666666666,0.4800330910507231,0.5163734464641517,0.4082851724390927
"dense@100>>KG(SVD sim-only @512,alpha=0.50)->@50",0.6400769437957542,0.9047619047619048,0.5533333333333333,0.47658792372495884,0.5121012556132107,0.4062369949036598
"dense@100>>KG(SVD sim-only @512,alpha=0.55)->@50",0.6394273982520623,0.9384615384615385,0.5533333333333333,0.47570237652362213,0.511589596269685,0.4056217667325593
"dense@100>>KG(SVD sim-only @512,alpha=0.60)->@50",0.6360973314191446,0.9388888888888888,0.5506666666666666,0.47400379381238117,0.5094673833068014,0.4037654505618988
"dense@100>>KG(SVD sim-only @512,alpha=0.65)->@50",0.6367534470128368,0.9388888888888888,0.5506666666666666,0.4734058550781645,0.5091218027258657,0.40316943604660416
"dense@100>>KG(SVD sim-only @512,alpha=0.70)->@50",0.6294538155914225,0.9055555555555554,0.5453333333333333,0.4699606877524002,0.5048492812231403,0.39970178139533336
"dense@100>>KG(SVD sim-only @512,alpha=0.75)->@50",0.6219462253571085,0.8733333333333333,0.5373333333333333,0.46503910100322127,0.49857917419244996,0.3949704594244797
"dense@100>>KG(SVD sim-only @512,alpha=0.80)->@50",0.6119658649325198,0.875,0.528,0.4585616246318207,0.490837129198005,0.3871162538459576
"dense@100>>KG(SVD sim-only @512,alpha=0.85)->@50",0.6049749962405192,0.875,0.5253333333333333,0.45753956301922,0.48909840665002313,0.37824243733674107
"dense@100>>KG(SVD sim-only @512,alpha=0.90)->@50",0.5659596609616557,0.8222222222222224,0.5173333333333333,0.4535031254228605,0.4833198865495251,0.3302763183409255
"dense@100>>KG(SVD sim-only @512,alpha=0.95)->@50",0.5373063530987647,0.8244444444444444,0.49599999999999994,0.4361062785377069,0.46412886413349524,0.3027285575885584
"dense@100>>KG(SVD sim-only @512,alpha=1.00)->@50",0.5005960891853133,0.7944444444444444,0.46266666666666667,0.4113092578171019,0.4354790056620453,0.27342667234060714
