Method,nDCG,Delta,%,MRR,P,R,F1,MAP,doc_min_sim,doc_topk,used_dim,explained_variance,n_doc_links,linked_docs
"dense@100>>KG(SVD sim-only @512,alpha=0.30,docmin=0.45,doctopk=15)->@50",0.6467818491120564,0.146185759926743,29.202337590101934,0.9041666666666667,0.5613333333333334,0.4813521293873053,0.518275174933492,0.41051449808164653,0.45,15,512,0.7728558778762817,40997,2800
"dense@100>>KG(SVD sim-only @512,alpha=0.30,docmin=0.50,doctopk=15)->@50",0.6445634044060201,0.14396731522070672,28.75917697539425,0.8708333333333333,0.5613333333333334,0.4819731963719077,0.518634961430176,0.4084423457884492,0.5,15,512,0.7786484956741333,38527,2767
"dense@100>>KG(SVD sim-only @512,alpha=0.30,docmin=0.55,doctopk=15)->@50",0.6391579316169868,0.13856184243167335,27.679369740417563,0.8714285714285714,0.5533333333333333,0.47362538845925045,0.510386073726502,0.4070699148541388,0.55,15,512,0.7940384149551392,32196,2690
"dense@100>>KG(SVD sim-only @512,alpha=0.30,docmin=0.60,doctopk=15)->@50",0.6388065681606242,0.1382104789753108,27.60918072696874,0.9363636363636364,0.5413333333333334,0.46625891672435765,0.5009992753960425,0.4045700046318875,0.6,15,512,0.8337661027908325,22337,2463
"dense@100>>KG(SVD sim-only @512,alpha=0.30,docmin=0.55,doctopk=10)->@50",0.632241655600992,0.1316455664156786,26.297761660488185,0.9393939393939393,0.5359999999999999,0.4616232856643895,0.4960391054852557,0.3977898821814411,0.55,10,512,0.7862435579299927,23261,2690
"dense@100>>KG(SVD sim-only @512,alpha=0.30,docmin=0.60,doctopk=10)->@50",0.6292212704824709,0.1286251812971575,25.694403946799977,0.9377777777777777,0.5306666666666666,0.45816178795209633,0.4917560526720824,0.3946650413434781,0.6,10,512,0.8225815296173096,17166,2463
"dense@100>>KG(SVD sim-only @512,alpha=0.30,docmin=0.45,doctopk=10)->@50",0.6284137632077831,0.12781767402246969,25.53309480113686,0.9074074074074073,0.536,0.462057922599213,0.49628992647680525,0.3975918985807023,0.45,10,512,0.7687957286834717,27633,2800
"dense@100>>KG(SVD sim-only @512,alpha=0.30,docmin=0.50,doctopk=10)->@50",0.602994194603802,0.1023981054184886,20.455234795208778,0.8733333333333333,0.5359999999999999,0.46328544766514373,0.4969971303569475,0.36355569469814847,0.5,10,512,0.7735520601272583,26482,2767
"dense@100>>KG(SVD sim-only @512,alpha=0.30,docmin=0.60,doctopk=8)->@50",0.5806718680592848,0.08007577887397144,15.996085587542124,0.846031746031746,0.5373333333333333,0.4555017622741536,0.49304518211500026,0.3392214740077352,0.6,8,512,0.8179275989532471,14667,2463
"dense@100>>KG(SVD sim-only @512,alpha=0.30,docmin=0.55,doctopk=8)->@50",0.5779609349773747,0.07736484579206127,15.454544584630568,0.8738482384823848,0.5359999999999999,0.4618082967573126,0.49614589869886344,0.33254102744891684,0.55,8,512,0.7837602496147156,19240,2690
"dense@100>>KG(SVD sim-only @512,alpha=0.30,docmin=0.45,doctopk=8)->@50",0.5774374049492202,0.07684131576390685,15.349963258594558,0.8436274509803922,0.5373333333333333,0.4618717149749259,0.4967530310221087,0.33502078666070095,0.45,8,512,0.767951250076294,22199,2800
"dense@100>>KG(SVD sim-only @512,alpha=0.30,docmin=0.50,doctopk=8)->@50",0.5765129678516321,0.07591687866631869,15.165295995393876,0.8443333333333333,0.5399999999999999,0.46419975730296825,0.49923905501995863,0.33394859037786934,0.5,8,512,0.7725734114646912,21411,2767
"dense@100>>KG(SVD sim-only @512,alpha=0.30,docmin=0.50,doctopk=5)->@50",0.5740454556012856,0.07344936641597222,14.67238118769688,0.8861111111111112,0.5279999999999999,0.45726514257984435,0.4900934476378113,0.33854898679062145,0.5,5,512,0.7702205777168274,13588,2767
"dense@100>>KG(SVD sim-only @512,alpha=0.30,docmin=0.60,doctopk=5)->@50",0.5718107564638975,0.07121466727858405,14.225973557740165,0.8883333333333333,0.5213333333333333,0.45161589215791764,0.4839767837342537,0.33432281259590435,0.6,5,512,0.809040367603302,10228,2463
"dense@100>>KG(SVD sim-only @512,alpha=0.30,docmin=0.45,doctopk=5)->@50",0.5718070118972438,0.07121092271193041,14.225225536184556,0.8863636363636365,0.5253333333333333,0.4546296405157708,0.48743087414047664,0.3347300078193301,0.45,5,512,0.7662232518196106,13938,2800
"dense@100>>KG(SVD sim-only @512,alpha=0.30,docmin=0.55,doctopk=5)->@50",0.5702556532193158,0.06965956403400242,13.915323259390357,0.8811111111111111,0.5293333333333333,0.45619661582604054,0.4900512166404665,0.3330921434773185,0.55,5,512,0.7796989679336548,12653,2690
