Method,nDCG,Delta,%,MRR,P,R,F1,MAP,rule,stat,threshold,alpha_low,alpha_high,high_conf_qids,low_conf_qids,used_dim,explained_variance
"adaptive(stat=max,thr=0.8428,lo=0.15,hi=0.40)",0.6494319536851333,0.1488358644998199,29.731727377662956,0.9044444444444444,0.5640000000000001,0.482794624514011,0.5202475477982504,0.41203558878021906,binary_high_conf_low_alpha,max,0.8427861928939819,0.15,0.4,8,7,512,0.7728558778762817
"adaptive(stat=max,thr=0.7884,lo=0.15,hi=0.40)",0.6491955998122094,0.14859951062689603,29.684512891167763,0.9044444444444444,0.5640000000000001,0.482794624514011,0.5202475477982504,0.41130675376776715,binary_high_conf_low_alpha,max,0.7883978486061096,0.15,0.4,11,4,512,0.7728558778762817
"adaptive(stat=mean,thr=0.7737,lo=0.25,hi=0.40)",0.6487833654109916,0.14818727622567818,29.60216418527021,0.9044444444444444,0.5626666666666668,0.482092870128046,0.5192727679537115,0.4110257535529839,binary_high_conf_low_alpha,mean,0.7737045988440514,0.25,0.4,4,11,512,0.7728558778762817
"adaptive(stat=mean,thr=0.7157,lo=0.15,hi=0.40)",0.6487256885506134,0.1481295993653,29.590642549040087,0.9041666666666667,0.5640000000000001,0.482794624514011,0.5202475477982504,0.41091212651358006,binary_high_conf_low_alpha,mean,0.7157147526741028,0.15,0.4,8,7,512,0.7728558778762817
"adaptive(stat=max,thr=0.8428,lo=0.15,hi=0.35)",0.648711505023713,0.1481154158383996,29.587809221491824,0.9044444444444444,0.5640000000000001,0.482794624514011,0.5202475477982504,0.41193892925963843,binary_high_conf_low_alpha,max,0.8427861928939819,0.15,0.35,8,7,512,0.7728558778762817
"adaptive(stat=mean,thr=0.7737,lo=0.15,hi=0.40)",0.648644514826321,0.14804842564100762,29.574427135846488,0.9044444444444444,0.5626666666666668,0.482092870128046,0.5192727679537115,0.41146048936727614,binary_high_conf_low_alpha,mean,0.7737045988440514,0.15,0.4,4,11,512,0.7728558778762817
"adaptive(stat=max,thr=0.8428,lo=0.25,hi=0.40)",0.6485071584452728,0.14791106925995945,29.546988571300027,0.9044444444444444,0.5626666666666668,0.4819399236593101,0.5191840313669682,0.41098435003918254,binary_high_conf_low_alpha,max,0.8427861928939819,0.25,0.4,8,7,512,0.7728558778762817
"adaptive(stat=max,thr=0.7884,lo=0.15,hi=0.35)",0.6484984988691438,0.1479024096838304,29.545258718367467,0.9044444444444444,0.5640000000000001,0.482794624514011,0.5202475477982504,0.41127883407573074,binary_high_conf_low_alpha,max,0.7883978486061096,0.15,0.35,11,4,512,0.7728558778762817
"adaptive(stat=max,thr=0.7884,lo=0.25,hi=0.40)",0.6484719235136782,0.14787583432836482,29.53994997624189,0.9044444444444444,0.5626666666666668,0.4819399236593101,0.5191840313669682,0.4108319174151129,binary_high_conf_low_alpha,max,0.7883978486061096,0.25,0.4,11,4,512,0.7728558778762817
"adaptive(stat=mean,thr=0.7157,lo=0.15,hi=0.35)",0.6480295460462387,0.14743345686092535,29.451579835724132,0.9041666666666667,0.5640000000000001,0.482794624514011,0.5202475477982504,0.41096229852254884,binary_high_conf_low_alpha,mean,0.7157147526741028,0.15,0.35,8,7,512,0.7728558778762817
"adaptive(stat=max,thr=0.8428,lo=0.20,hi=0.40)",0.6480161578450695,0.1474200686597561,29.448905383913882,0.9044444444444444,0.5613333333333334,0.48119918291856933,0.5181865066733146,0.4109778118296487,binary_high_conf_low_alpha,max,0.8427861928939819,0.2,0.4,8,7,512,0.7728558778762817
