queries,qid
Digitaler Schutz,0
Einfache Datenanalyse,1
Kernelemente der Unternehmensführung,2
Ökonomische Kenntnisse,3
"Unternehmerische Fähigkeiten (Strategie, Ablaufsteuerung, Einkauf, Unternehmensleitung und Schutz von Urheberrechten)",4
Erkenntnisvermögen und Eigenanalyse,5
Informationsaufbereitung,6
Darstellungs- und Vortragsmethoden,7
Staatskunst und internationale Steuerung,8
Multikulturelle Kompetenz,9
Damen im Berufsleben,10
Online-Bildung und Lehrgangseinschätzung,11
Speicher und Transportwesen,12
Laufbahnplanung und Eigenanalyse,13
Territoriale Grünplanung,14
